municipio;year;Todas las edades
        24030 Brazuelo;2015;307
        24031 Brazuelo;2014;311
        24032 Brazuelo;2013;318
        24033 Brazuelo;2012;334
        24034 Brazuelo;2011;329
        24035 Brazuelo;2010;321
        24036 Brazuelo;2009;329
        24037 Brazuelo;2008;347
        24038 Brazuelo;2007;346
        24039 Brazuelo;2006;347
        24040 Brazuelo;2005;356
        24041 Brazuelo;2004;340
        24042 Brazuelo;2003;356
        24024 Burgo Ranero, El;2022;697
        24025 Burgo Ranero, El;2021;725
        24026 Burgo Ranero, El;2020;702
        24027 Burgo Ranero, El;2019;715
        24028 Burgo Ranero, El;2018;733
        24029 Burgo Ranero, El;2017;751
        24030 Burgo Ranero, El;2016;764
        24031 Burgo Ranero, El;2015;767
        24032 Burgo Ranero, El;2014;779
        24033 Burgo Ranero, El;2013;776
        24034 Burgo Ranero, El;2012;794
        24035 Burgo Ranero, El;2011;826
        24036 Burgo Ranero, El;2010;841
        24037 Burgo Ranero, El;2009;854
        24038 Burgo Ranero, El;2008;876
        24039 Burgo Ranero, El;2007;878
        24040 Burgo Ranero, El;2006;893
        24041 Burgo Ranero, El;2005;900
        24042 Burgo Ranero, El;2004;894
        24043 Burgo Ranero, El;2003;892
        24025 Burón;2022;290
        24026 Burón;2021;294
        24027 Burón;2020;303
        24028 Burón;2019;308
        24029 Burón;2018;304
        24030 Burón;2017;325
        24031 Burón;2016;320
        24032 Burón;2015;325
        24033 Burón;2014;319
        24034 Burón;2013;322
        24035 Burón;2012;356
        24036 Burón;2011;360
        24037 Burón;2010;358
        24038 Burón;2009;377
        24039 Burón;2008;382
        24040 Burón;2007;378
        24041 Burón;2006;372
        24042 Burón;2005;379
        24043 Burón;2004;379
        24044 Burón;2003;388
        24026 Bustillo del Páramo;2022;1094
        24027 Bustillo del Páramo;2021;1113
        24028 Bustillo del Páramo;2020;1129
        24029 Bustillo del Páramo;2019;1165
        24030 Bustillo del Páramo;2018;1184
        24031 Bustillo del Páramo;2017;1235
        24032 Bustillo del Páramo;2016;1274
        24033 Bustillo del Páramo;2015;1311
        24034 Bustillo del Páramo;2014;1350
        24035 Bustillo del Páramo;2013;1369
        24036 Bustillo del Páramo;2012;1410
        24037 Bustillo del Páramo;2011;1448
        24038 Bustillo del Páramo;2010;1484
        24039 Bustillo del Páramo;2009;1474
        24040 Bustillo del Páramo;2008;1508
        24041 Bustillo del Páramo;2007;1539
        24042 Bustillo del Páramo;2006;1560
        24043 Bustillo del Páramo;2005;1624
        24044 Bustillo del Páramo;2004;1668
        24045 Bustillo del Páramo;2003;1710
        24027 Cabañas Raras;2022;1339
        24028 Cabañas Raras;2021;1331
        24029 Cabañas Raras;2020;1335
        24030 Cabañas Raras;2019;1356
        24031 Cabañas Raras;2018;1330
        24032 Cabañas Raras;2017;1337
        24033 Cabañas Raras;2016;1344
        24034 Cabañas Raras;2015;1337
        24035 Cabañas Raras;2014;1326
        24036 Cabañas Raras;2013;1328
        24037 Cabañas Raras;2012;1316
        24038 Cabañas Raras;2011;1310
        24039 Cabañas Raras;2010;1329
        24040 Cabañas Raras;2009;1321
        24041 Cabañas Raras;2008;1295
        24042 Cabañas Raras;2007;1224
        24043 Cabañas Raras;2006;1259
        24044 Cabañas Raras;2005;1255
        24045 Cabañas Raras;2004;1213
        24046 Cabañas Raras;2003;1262
        24028 Cabreros del Río;2022;403
        24029 Cabreros del Río;2021;409
        24030 Cabreros del Río;2020;417
        24031 Cabreros del Río;2019;413
        24032 Cabreros del Río;2018;412
        24033 Cabreros del Río;2017;421
        24034 Cabreros del Río;2016;429
        24035 Cabreros del Río;2015;431
        24036 Cabreros del Río;2014;437
        24037 Cabreros del Río;2013;462
        24038 Cabreros del Río;2012;460
        24039 Cabreros del Río;2011;461
        24040 Cabreros del Río;2010;481
        24041 Cabreros del Río;2009;484
        24042 Cabreros del Río;2008;497
        24043 Cabreros del Río;2007;498
        24044 Cabreros del Río;2006;497
        24045 Cabreros del Río;2005;522
        24046 Cabreros del Río;2004;523
        24047 Cabreros del Río;2003;537
        24029 Cabrillanes;2022;713
        24030 Cabrillanes;2021;731
        24031 Cabrillanes;2020;747
        24032 Cabrillanes;2019;759
        24033 Cabrillanes;2018;775
        24034 Cabrillanes;2017;779
        24035 Cabrillanes;2016;804
        24036 Cabrillanes;2015;828
        24037 Cabrillanes;2014;855
        24038 Cabrillanes;2013;866
        24039 Cabrillanes;2012;905
        24040 Cabrillanes;2011;936
        24041 Cabrillanes;2010;964
        24042 Cabrillanes;2009;984
        24043 Cabrillanes;2008;974
        24044 Cabrillanes;2007;1019
        24045 Cabrillanes;2006;973
        24046 Cabrillanes;2005;986
        24047 Cabrillanes;2004;1000
        24048 Cabrillanes;2003;1038
        24030 Cacabelos;2022;4874
        24031 Cacabelos;2021;4888
        24032 Cacabelos;2020;4996
        24033 Cacabelos;2019;5118
        24034 Cacabelos;2018;5132
        24035 Cacabelos;2017;5152
        24036 Cacabelos;2016;5264
        24037 Cacabelos;2015;5318
        24038 Cacabelos;2014;5337
        24039 Cacabelos;2013;5459
        24040 Cacabelos;2012;5506
        24041 Cacabelos;2011;5495
        24042 Cacabelos;2010;5498
        24043 Cacabelos;2009;5534
        24044 Cacabelos;2008;5477
        24045 Cacabelos;2007;5350
        24046 Cacabelos;2006;5236
        24047 Cacabelos;2005;5215
        24048 Cacabelos;2004;5064
        24049 Cacabelos;2003;5001
        24031 Calzada del Coto;2022;224
        24032 Calzada del Coto;2021;217
        24033 Calzada del Coto;2020;218
        24034 Calzada del Coto;2019;223
        24035 Calzada del Coto;2018;231
        24036 Calzada del Coto;2017;241
        24037 Calzada del Coto;2016;244
        24038 Calzada del Coto;2015;253
        24039 Calzada del Coto;2014;253
        24040 Calzada del Coto;2013;260
        24041 Calzada del Coto;2012;261
        24042 Calzada del Coto;2011;259
        24043 Calzada del Coto;2010;260
        24044 Calzada del Coto;2009;265
        24045 Calzada del Coto;2008;265
        24046 Calzada del Coto;2007;281
        24047 Calzada del Coto;2006;280
        24048 Calzada del Coto;2005;289
        24049 Calzada del Coto;2004;289
        24050 Calzada del Coto;2003;295
        24031 Campazas;2022;106
        24032 Campazas;2021;113
        24033 Campazas;2020;111
        24034 Campazas;2019;119
        24035 Campazas;2018;123
        24036 Campazas;2017;121
        24037 Campazas;2016;122
        24038 Campazas;2015;139
        24039 Campazas;2014;135
        24040 Campazas;2013;139
        24041 Campazas;2012;151
        24042 Campazas;2011;146
        24043 Campazas;2010;154
        24044 Campazas;2009;155
        24045 Campazas;2008;153
        24046 Campazas;2007;155
        24047 Campazas;2006;173
        24048 Campazas;2005;166
        24049 Campazas;2004;152
        24050 Campazas;2003;151
        24014 Campo de Villavidel;2022;201
        24015 Campo de Villavidel;2021;211
        24016 Campo de Villavidel;2020;212
        24017 Campo de Villavidel;2019;209
        24018 Campo de Villavidel;2018;203
        24019 Campo de Villavidel;2017;205
        24020 Campo de Villavidel;2016;208
        24021 Campo de Villavidel;2015;212
        24022 Campo de Villavidel;2014;207
        24023 Campo de Villavidel;2013;209
        24024 Campo de Villavidel;2012;210
        24025 Campo de Villavidel;2011;216
        24026 Campo de Villavidel;2010;227
        24027 Campo de Villavidel;2009;242
        24028 Campo de Villavidel;2008;254
        24029 Campo de Villavidel;2007;250
        24030 Campo de Villavidel;2006;265
        24031 Campo de Villavidel;2005;280
        24032 Campo de Villavidel;2004;289
        24033 Campo de Villavidel;2003;307
        24015 Camponaraya;2022;4109
        24016 Camponaraya;2021;4105
        24017 Camponaraya;2020;4097
        24018 Camponaraya;2019;4096
        24019 Camponaraya;2018;4062
        24020 Camponaraya;2017;4072
        24021 Camponaraya;2016;4096
        24022 Camponaraya;2015;4086
        24023 Camponaraya;2014;4131
        24024 Camponaraya;2013;4194
        24025 Camponaraya;2012;4220
        24026 Camponaraya;2011;4241
        24027 Camponaraya;2010;4230
        24028 Camponaraya;2009;4246
        24029 Camponaraya;2008;4222
        24030 Camponaraya;2007;4035
        24031 Camponaraya;2006;3859
        24032 Camponaraya;2005;3664
        24033 Camponaraya;2004;3411
        24034 Camponaraya;2003;3290
        24017 Valle de Ancares;2022;248
        24018 Valle de Ancares;2021;255
        24019 Valle de Ancares;2020;249
        24020 Valle de Ancares;2019;274
        24021 Valle de Ancares;2018;273
        24022 Valle de Ancares;2017;283
        24023 Valle de Ancares;2016;290
        24024 Valle de Ancares;2015;297
        24025 Valle de Ancares;2014;303
        24026 Valle de Ancares;2013;320
        24027 Valle de Ancares;2012;333
        24028 Valle de Ancares;2011;339
        24029 Valle de Ancares;2010;310
        24030 Valle de Ancares;2009;325
        24031 Valle de Ancares;2008;341
        24032 Valle de Ancares;2007;361
        24033 Valle de Ancares;2006;367
        24034 Valle de Ancares;2005;381
        24035 Valle de Ancares;2004;407
        24036 Valle de Ancares;2003;425
        24037 Cármenes;2022;329
        24038 Cármenes;2021;335
        24039 Cármenes;2020;344
        24040 Cármenes;2019;352
        24041 Cármenes;2018;357
        24042 Cármenes;2017;363
        24043 Cármenes;2016;378
        24044 Cármenes;2015;396
        24045 Cármenes;2014;401
        24046 Cármenes;2013;407
        24047 Cármenes;2012;437
        24048 Cármenes;2011;448
        24049 Cármenes;2010;397
        24050 Cármenes;2009;403
        24051 Cármenes;2008;417
        24052 Cármenes;2007;419
        24053 Cármenes;2006;410
        24054 Cármenes;2005;401
        24055 Cármenes;2004;425
        24056 Cármenes;2003;421
        24038 Carracedelo;2022;3434
        24039 Carracedelo;2021;3403
        24040 Carracedelo;2020;3364
        24041 Carracedelo;2019;3425
        24042 Carracedelo;2018;3472
        24043 Carracedelo;2017;3500
        24044 Carracedelo;2016;3523
        24045 Carracedelo;2015;3575
        24046 Carracedelo;2014;3630
        24047 Carracedelo;2013;3636
        24048 Carracedelo;2012;3680
        24049 Carracedelo;2011;3686
        24050 Carracedelo;2010;3658
        24051 Carracedelo;2009;3712
        24052 Carracedelo;2008;3657
        24053 Carracedelo;2007;3614
        24054 Carracedelo;2006;3561
        24055 Carracedelo;2005;3548
        24056 Carracedelo;2004;3518
        24057 Carracedelo;2003;3556
        24039 Carrizo;2022;2234
        24040 Carrizo;2021;2266
        24041 Carrizo;2020;2224
        24042 Carrizo;2019;2228
        24043 Carrizo;2018;2269
        24044 Carrizo;2017;2278
        24045 Carrizo;2016;2335
        24046 Carrizo;2015;2357
        24047 Carrizo;2014;2433
        24048 Carrizo;2013;2481
        24049 Carrizo;2012;2499
        24050 Carrizo;2011;2521
        24051 Carrizo;2010;2537
        24052 Carrizo;2009;2518
        24053 Carrizo;2008;2554
        24054 Carrizo;2007;2615
        24055 Carrizo;2006;2698
        24056 Carrizo;2005;2695
        24057 Carrizo;2004;2613
        24058 Carrizo;2003;2639
        24040 Carrocera;2022;458
        24041 Carrocera;2021;452
        24042 Carrocera;2020;446
        24043 Carrocera;2019;451
        24044 Carrocera;2018;465
        24045 Carrocera;2017;479
        24046 Carrocera;2016;501
        24047 Carrocera;2015;514
        24048 Carrocera;2014;524
        24049 Carrocera;2013;545
        24050 Carrocera;2012;565
        24051 Carrocera;2011;548
        24052 Carrocera;2010;555
        24053 Carrocera;2009;561
        24054 Carrocera;2008;574
        24055 Carrocera;2007;587
        24056 Carrocera;2006;589
        24057 Carrocera;2005;580
        24058 Carrocera;2004;574
        24059 Carrocera;2003;591
        24041 Carucedo;2022;501
        24042 Carucedo;2021;511
        24043 Carucedo;2020;531
        24044 Carucedo;2019;562
